Operator,Week,DateOfSurvey,ReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep
SLB,3,2024-09-09 00:00:00,1,11:02:00,11:50:00,True,38.76,,,mean estimate,0.3,,True,True,True
SLB,3,2024-09-09 00:00:00,2,12:05:00,12:52:00,True,52.75,,,mean estimate,2.1,,True,True,True
SLB,3,2024-09-09 00:00:00,3,13:24:00,14:16:00,True,4.0,,,mean estimate,1.2,,True,True,True
SLB,3,2024-09-09 00:00:00,4,,,False,,,,,,camera had been likely bumped by other participants working in the area,False,False,False
SLB,3,2024-09-09 00:00:00,5,,,False,,,,,,camera had been likely bumped by other participants working in the area,False,False,False
SLB,3,2024-09-09 00:00:00,6,16:43:00,17:37:00,True,3.53,,,mean estimate,0.4,,True,True,True
SLB,3,2024-09-10 00:00:00,7,08:45:00,09:31:00,True,1.62,,,mean estimate,0.2,,True,True,True
SLB,3,2024-09-10 00:00:00,8,09:45:00,10:31:00,True,0.75,,,mean estimate,0.75,,True,True,True
SLB,3,2024-09-10 00:00:00,9,10:40:00,11:26:00,True,38.45,,,mean estimate,0.6,,True,True,True
SLB,3,2024-09-10 00:00:00,10,11:45:00,12:31:00,True,3.39,,,mean estimate,0.7,,True,True,True
SLB,3,2024-09-10 00:00:00,11,12:45:00,13:36:00,True,3.59,,,mean estimate,1.27,,True,True,True
SLB,3,2024-09-10 00:00:00,12,13:44:00,14:30:00,True,1.03,,,mean estimate,3.2,,True,True,True
SLB,3,2024-09-10 00:00:00,13,14:44:00,15:30:00,True,14.63,,,mean estimate,1.5,,True,True,True
SLB,3,2024-09-10 00:00:00,14,15:44:00,16:30:00,True,1.99,,,mean estimate,1.05,,True,True,True
SLB,3,2024-09-10 00:00:00,15,16:46:00,17:36:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,3,2024-09-11 00:00:00,16,08:35:00,09:22:00,True,26.16,,,mean estimate,0.85,,True,True,True
SLB,3,2024-09-11 00:00:00,17,09:34:00,10:21:00,True,10.67,,,mean estimate,1.03,,True,True,True
SLB,3,2024-09-11 00:00:00,18,10:38:00,11:25:00,True,0.4,,,mean estimate,1.69,,True,True,True
SLB,3,2024-09-11 00:00:00,19,11:34:00,12:22:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,3,2024-09-11 00:00:00,20,12:38:00,13:25:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,3,2024-09-11 00:00:00,21,13:34:00,14:22:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,3,2024-09-11 00:00:00,22,14:34:00,15:20:00,True,0.0,0.0,0.0,,,below LOD or obscured,False,True,True
SLB,3,2024-09-11 00:00:00,23,15:34:00,16:22:00,True,21.92,,,mean estimate,1.19,,True,True,True
SLB,3,2024-09-11 00:00:00,24,16:34:00,17:23:00,True,23.2,,,mean estimate,1.03,,True,True,True
SLB,3,2024-09-12 00:00:00,25,09:16:00,10:02:00,True,15.96,,,mean estimate,0.61,,True,True,True
SLB,3,2024-09-12 00:00:00,26,10:06:00,10:54:00,True,4.49,,,mean estimate,0.58,,True,True,True
