,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
2,5.57,0,3.2,1.7320000000000002,1.7320000000000002
4,0.18,0,2.6,1.758,1.7579999999999996
5,13.38,0,8.203,2.9639999999999995,2.9640000000000004
6,0.92,0,1.554,0.994,0.994
7,2.02,0,5.879,3.0089999999999995,3.0090000000000003
8,79.19999999999997,0,63.102,16.061,16.061
9,17.8,0,47.99,20.032000000000004,20.032000000000004
10,6.77,0,12.565,4.9559999999999995,4.956000000000001
11,1.85,0,3.759,1.4,1.4
12,28.16,0,38.598,18.747,18.747
13,4.47,0,6.75,2.81,2.8100000000000005
14,0.45,0,2.946,1.5440000000000003,1.544
15,53.99999999999999,0,42.397,20.456,20.456000000000003
16,31.36,0,71.778,20.30400000000001,20.303999999999988
17,1.01,0,3.904,0.806,0.806
18,20.18,0,19.469,4.843000000000002,4.843
20,0.62,0,2.598,1.309,1.3090000000000002
21,0.7,0,2.614,1.7369999999999999,1.737
22,44.07,0,59.344,20.884,20.883999999999993
23,51.12,0,44.784,14.491,14.491
24,19.74,0,7.319,3.3329999999999997,3.3329999999999993
25,13.38,0,13.179,8.98,8.979999999999999
26,4.14,0,10.143,3.8740000000000006,3.8739999999999988
27,37.1,0,100.528,27.449000000000012,27.448999999999998
28,50.88,0,119.056,48.18899999999999,48.18900000000001
29,1.3,0,2.706,1.7069999999999999,1.7070000000000003
30,210.0,0,236.2,63.099999999999994,63.10000000000002
31,26.85,0,39.641,17.221999999999998,17.222
33,3.4,0,7.996,2.9640000000000004,2.9640000000000004
34,1.47,0,2.307,1.592,1.592
35,308.2,0,468.1,75.60000000000002,75.60000000000002
36,20.18,0,8.473,1.7410000000000005,1.7409999999999997
37,0.57,0,2.801,1.7810000000000001,1.7809999999999997
38,56.7,0,93.405,29.087000000000003,29.087000000000003
39,11.17,0,12.78,5.422,5.422000000000002
40,28.71,0,44.61,18.979,18.979
41,21.64,0,53.887,22.183,22.182999999999993
42,9.23,0,5.818,3.7569999999999997,3.7569999999999997
43,0.9,0,2.641,1.917,1.9169999999999998
44,7.3,0,14.791,7.7700000000000005,7.77
45,79.2,0,81.861,22.933000000000007,22.932999999999993
46,5.5,0,2.903,1.348,1.3480000000000003
48,54.0,0,71.413,28.779999999999994,28.78
49,0.02,0,0.276,0.24500000000000002,0.245
50,44.0,0,65.097,13.398999999999994,13.399000000000001
51,0.5,0,0.771,0.333,0.3330000000000001
52,38.47,0,55.039,24.451,24.450999999999993
53,1.45,0,14.796,3.5269999999999992,3.527000000000001
54,52.94,0,45.989,21.247999999999998,21.247999999999998
55,0.29,0,1.424,1.189,1.189
56,8.25,0,19.498,5.2280000000000015,5.227999999999998
57,0.19,0,1.621,0.746,0.746
58,290.0,0,218.29,48.04999999999998,48.04999999999998
59,0.73,0,15.853,5.227,5.2269999999999985
60,28.71,0,33.857,7.795999999999999,7.795999999999999
61,1.63,0,5.848,3.814,3.814000000000001
62,2.01,0,6.784,2.4619999999999997,2.4620000000000006
63,4.14,0,5.922,3.352,3.3519999999999994
64,49.01,0,47.285,18.205999999999996,18.206000000000003
65,1.14,0,5.653,3.1119999999999997,3.112000000000001
66,80.1,0,59.677,25.075000000000003,25.074999999999996
67,8.25,0,18.43,4.078999999999999,4.079000000000001
68,26.4,0,42.507,17.070999999999998,17.071000000000005
69,3.3,0,6.826,2.8049999999999997,2.8050000000000006
70,38.47,0,39.874,22.838,22.838
71,34.4,0,34.416,20.201999999999998,20.202000000000005
72,1.0,0,6.884,3.039,3.0389999999999997
