,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
5,16.46,0,0.95,0.54,2.6500000000000004
6,56.7,0,133.86,133.52,166.14
7,41.0,0,51.51,43.809999999999995,0.0
8,28.26,0,24.57,21.17,0.0
9,4.45,0,3.6,3.08,0.0
20,38.52,0,18.12,11.400000000000002,0.5999999999999979
21,5.6,0,2.4,1.0799999999999998,0.07000000000000028
22,103.2,0,24.0,14.77,0.6000000000000014
23,8.28,0,7.25,4.12,0.0
24,13.59,0,11.41,9.25,0.0
25,24.01,0,3.15,1.0,1.9499999999999997
26,16.92,0,4.49,1.7300000000000004,0.0
27,43.49,0,19.12,11.090000000000002,10.919999999999998
28,5.63,0,20.94,20.540000000000003,0.0
29,20.0,0,13.21,12.55,0.0
30,101.8,0,30.39,19.91,0.0
32,1.1,0,0.51,0.28,1.9600000000000002
33,27.84,0,21.31,14.29,0.0
34,5.38,0,6.65,3.3000000000000003,0.0
36,40.63,0,67.42,40.24,0.0
38,15.15,0,6.4,3.18,0.0
39,3.95,0,3.54,1.19,0.0
40,0.59,0,0.46,0.25,0.0
41,136.6,0,86.88,86.47999999999999,0.0
43,0.89,0,1.0,0.8200000000000001,0.0
44,46.2,0,5.8,4.4,0.0
45,19.23,0,9.34,8.72,0.0
46,32.18,0,103.96,103.11999999999999,0.0
47,0.77,0,0.41,0.13999999999999996,0.0
48,1.95,0,1.84,1.79,0.0
49,8.2,0,1.96,1.48,0.0
50,32.1,0,20.88,20.52,0.0
51,50.42,0,28.92,17.060000000000002,22.25
52,21.7,0,10.85,9.959999999999999,0.0
53,54.95,0,59.94,59.28,0.0
54,1.48,0,1.44,1.16,1.9900000000000002
55,1.62,0,0.34,0.06,0.12999999999999995
56,1.33,0,0.88,0.78,0.0
57,9.71,0,2.81,2.42,0.6999999999999997
58,4.83,0,3.18,2.72,0.0
60,44.02,0,0.37,0.24,0.0
61,8.55,0,6.75,5.51,0.0
63,37.59,0,0.58,0.38999999999999996,0.17000000000000004
64,42.06,0,76.42,73.32000000000001,0.0
65,0.57,0,0.55,0.22000000000000003,0.10999999999999999
66,8.55,0,10.42,9.76,0.0
67,13.91,0,14.0,4.9,0.0
68,37.59,0,8.31,0.0,9.639999999999999
69,81.3,0,8.31,0.0,9.639999999999999
70,1.44,0,5.85,5.569999999999999,0.0
71,2.98,0,1.55,0.8200000000000001,0.0
72,0.32,0,0.43,0.24,0.0
73,189.0,0,11.76,11.129999999999999,8.389999999999999
74,19.23,0,1.33,0.7000000000000001,6.12
75,56.7,0,21.18,20.05,0.0
76,31.36,0,10.37,9.29,0.0
80,13.38,0,23.89,21.2,0.0
81,0.92,0,1.0,0.62,0.6100000000000001
82,2.02,0,1.12,0.6500000000000001,0.0
83,79.19999999999997,0,4.34,3.12,0.5
84,17.8,0,2.87,1.3,0.0
85,6.77,0,3.77,1.63,2.496
86,1.85,0,2.77,2.23,2.1
87,28.16,0,9.78,0.41999999999999993,2.58
88,4.47,0,2.16,0.0,6.6899999999999995
89,0.45,0,0.27,0.1,0.09999999999999998
90,53.99999999999999,0,1.24,0.73,6.59
91,31.36,0,19.1,16.73,0.0
95,0.62,0,0.26,0.010000000000000009,0.0
97,44.07,0,29.21,26.62,0.0
98,51.12,0,6.19,0.7800000000000002,0.1299999999999999
99,19.74,0,5.85,3.3099999999999996,1.7700000000000005
100,13.38,0,2.03,0.9599999999999997,13.13
101,4.14,0,0.51,0.10999999999999999,1.91
102,37.1,0,46.7,39.5,0.0
103,50.88,0,29.52,22.95,0.0
104,1.3,0,0.43,0.19999999999999998,0.0
105,210.0,0,10.37,3.789999999999999,0.0
106,26.85,0,3.97,1.6400000000000001,3.1299999999999994
108,3.4,0,0.31,0.0,0.04999999999999999
109,1.47,0,2.21,1.6099999999999999,0.0
110,308.2,0,1.8,0.6600000000000001,0.0
111,20.18,0,27.25,26.71,0.0
