,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
0,56.7,0,38.76,0.0,0.0
1,31.36,0,52.75,0.0,0.0
2,5.57,0,4.0,0.0,0.0
5,13.38,0,3.53,0.0,0.0
6,0.92,0,1.62,0.0,0.0
7,2.02,0,0.75,0.0,0.0
8,79.19999999999997,0,38.45,0.0,0.0
9,17.8,0,3.39,0.0,0.0
10,6.77,0,3.59,0.0,0.0
11,1.85,0,1.03,0.0,0.0
12,28.16,0,14.63,0.0,0.0
13,4.47,0,1.99,0.0,0.0
15,53.99999999999999,0,26.16,0.0,0.0
16,31.36,0,10.67,0.0,0.0
17,1.01,0,0.4,0.0,0.0
22,44.07,0,21.92,0.0,0.0
23,51.12,0,23.2,0.0,0.0
24,19.74,0,15.96,0.0,0.0
25,13.38,0,4.49,0.0,0.0
26,4.14,0,1.5,0.0,0.0
27,37.1,0,20.28,0.0,0.0
28,50.88,0,10.9,0.0,0.0
29,1.3,0,0.1,0.0,0.0
30,210.0,0,35.27,0.0,0.0
31,26.85,0,12.68,0.0,0.0
33,3.4,0,3.36,0.0,0.0
34,1.47,0,0.2,0.0,0.0
35,308.2,0,105.96,0.0,0.0
36,20.18,0,14.29,0.0,0.0
38,56.7,0,12.76,0.0,0.0
39,11.17,0,5.04,0.0,0.0
40,28.71,0,5.93,0.0,0.0
41,21.64,0,6.98,0.0,0.0
42,9.23,0,2.59,0.0,0.0
43,0.9,0,0.1,0.0,0.0
44,7.3,0,2.75,0.0,0.0
45,79.2,0,51.43,0.0,0.0
46,5.5,0,1.57,0.0,0.0
48,54.0,0,35.52,0.0,0.0
50,44.0,0,16.96,0.0,0.0
51,0.5,0,1.32,0.0,0.0
52,38.47,0,13.84,0.0,0.0
53,1.45,0,0.83,0.0,0.0
54,52.94,0,31.22,0.0,0.0
55,0.29,0,0.3,0.0,0.0
56,8.25,0,0.3,0.0,0.0
58,290.0,0,60.38,0.0,0.0
59,0.73,0,0.3,0.0,0.0
60,28.71,0,12.36,0.0,0.0
61,1.63,0,1.18,0.0,0.0
62,2.01,0,0.75,0.0,0.0
63,4.14,0,2.9,0.0,0.0
64,49.01,0,16.68,0.0,0.0
65,1.14,0,0.3,0.0,0.0
66,80.1,0,42.0,0.0,0.0
67,8.25,0,1.99,0.0,0.0
68,26.4,0,18.65,0.0,0.0
69,3.3,0,8.45,0.0,0.0
70,38.47,0,18.18,0.0,0.0
71,34.4,0,15.17,0.0,0.0
72,1.0,0,0.4,0.0,0.0
73,17.93,0,6.38,0.0,0.0
75,54.0,0,6.68,0.0,0.0
76,250.8,0,13.66,0.0,0.0
