index,Operator,Week,DateOfSurvey,WeeklyReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep,ReleaseID
0,GHGSat,1,2024-06-17 00:00:00,1,11:07:00,11:53:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,1
1,GHGSat,1,2024-06-17 00:00:00,2,12:05:00,12:51:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,2
2,GHGSat,1,2024-06-17 00:00:00,3,13:05:00,13:59:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,3
3,GHGSat,1,2024-06-17 00:00:00,4,14:00:00,14:48:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,4
4,GHGSat,1,2024-06-17 00:00:00,5,15:00:00,15:46:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,5
5,GHGSat,1,2024-06-17 00:00:00,6,16:00:00,16:47:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,6
6,GHGSat,1,2024-06-17 00:00:00,7,16:57:00,17:58:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,7
7,GHGSat,1,2024-06-18 00:00:00,8,09:08:00,09:54:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,8
8,GHGSat,1,2024-06-18 00:00:00,9,10:05:00,10:51:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,9
9,GHGSat,1,2024-06-18 00:00:00,10,11:03:00,11:49:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,10
10,GHGSat,1,2024-06-18 00:00:00,11,12:00:00,12:46:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,11
11,GHGSat,1,2024-06-18 00:00:00,12,13:00:00,13:46:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,12
12,GHGSat,1,2024-06-18 00:00:00,13,14:04:00,14:51:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,13
13,GHGSat,1,2024-06-18 00:00:00,14,15:05:00,15:33:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,14
14,GHGSat,1,2024-06-18 00:00:00,15,16:00:36,16:00:36,False,0.0,0.0,0.0,,"(np.float64(nan),)",Bad weather – Cloudy,False,False,True,15
15,GHGSat,1,2024-06-18 00:00:00,16,16:41:00,17:35:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,16
16,GHGSat,1,2024-06-19 00:00:00,17,09:00:00,09:47:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,17
17,GHGSat,1,2024-06-19 00:00:00,18,10:01:00,10:49:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,18
18,GHGSat,1,2024-06-19 00:00:00,19,11:01:00,11:48:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,19
19,GHGSat,1,2024-06-19 00:00:00,20,12:00:00,12:47:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,20
20,GHGSat,1,2024-06-19 00:00:00,21,13:02:00,13:48:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,21
21,GHGSat,1,2024-06-19 00:00:00,22,14:01:00,14:50:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,22
22,GHGSat,1,2024-06-19 00:00:00,23,15:01:00,15:48:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,23
23,GHGSat,1,2024-06-19 00:00:00,24,16:02:00,16:50:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,24
24,GHGSat,1,2024-06-20 00:00:00,25,09:02:00,09:47:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,25
25,GHGSat,1,2024-06-20 00:00:00,26,10:03:00,10:49:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,26
26,GHGSat,1,2024-06-20 00:00:00,27,11:00:00,11:51:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,27
27,GHGSat,1,2024-06-20 00:00:00,28,12:03:00,12:51:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,28
28,GHGSat,1,2024-06-20 00:00:00,29,13:07:00,13:53:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,29
29,GHGSat,1,2024-06-20 00:00:00,30,14:08:00,14:56:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,30
30,GHGSat,1,2024-06-20 00:00:00,31,15:58:04,15:58:04,False,0.0,0.0,0.0,,"(np.float64(nan),)",Bad weather – Cloudy,False,False,True,31
31,GHGSat,1,2024-06-20 00:00:00,32,16:18:00,17:05:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,32
32,GHGSat,1,2024-06-21 00:00:00,33,09:01:00,09:47:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,33
33,GHGSat,1,2024-06-21 00:00:00,34,10:02:00,10:49:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,34
34,GHGSat,1,2024-06-21 00:00:00,35,11:03:00,11:56:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,35
35,GHGSat,1,2024-06-21 00:00:00,36,12:10:00,13:04:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,36
36,GHGSat,1,2024-06-21 00:00:00,37,13:13:00,14:02:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,37
37,GHGSat,1,2024-06-21 00:00:00,38,14:12:00,15:05:00,False,0.0,0.0,0.0,,,Satellite not tasked. We did not agree to task the satellite at this time.,False,False,False,38
