,Operator,Week,DateOfSurvey,ReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep
0,Aeromon,1,2024-06-17,1,11:12:00,11:54:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
1,Aeromon,1,2024-06-17,2,,,False,,,,,,other drone team was flying,False,False,False
2,Aeromon,1,2024-06-17,3,13:06:00,13:52:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
3,Aeromon,1,2024-06-17,4,,,False,,,,,,other drone team was flying,False,False,False
4,Aeromon,1,2024-06-17,5,15:01:00,15:44:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
5,Aeromon,1,2024-06-17,6,,,False,,,,,,other drone team was flying,False,False,False
6,Aeromon,1,2024-06-17,7,16:58:00,17:48:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
7,Aeromon,1,2024-06-18,8,,,False,,,,,,other drone team was flying,False,False,False
8,Aeromon,1,2024-06-18,9,10:06:00,10:50:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
9,Aeromon,1,2024-06-18,10,11:05:00,11:34:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
10,Aeromon,1,2024-06-18,11,12:11:00,12:47:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
11,Aeromon,1,2024-06-18,12,,,False,,,,,,other drone team was flying,False,False,False
12,Aeromon,1,2024-06-18,13,14:04:00,14:51:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
13,Aeromon,1,2024-06-18,14,,,False,,,,,,other drone team was flying,False,False,False
14,Aeromon,1,2024-06-18,15,15:40:00,16:24:00,False,0.0,,,,,unable to confirm if wind conditions are within boundary conditions due to missing weather station data,False,False,True
15,Aeromon,1,2024-06-18,16,,,False,,,,,,other drone team was flying,False,False,False
16,Aeromon,1,2024-06-19,17,09:05:00,09:47:00,True,6.25,7.71,4.79,ci_95,1.6,"wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
17,Aeromon,1,2024-06-19,18,,,False,,,,,,other drone team was flying,False,False,False
18,Aeromon,1,2024-06-19,19,11:02:00,11:48:00,True,50.27,62.28,38.26,ci_95,2.6,"wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
19,Aeromon,1,2024-06-19,20,,,False,,,,,,other drone team was flying,False,False,False
20,Aeromon,1,2024-06-19,21,13:02:00,13:16:00,True,25.81,29.95,21.67,ci_95,2.6,"wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
21,Aeromon,1,2024-06-19,22,,,False,,,,,,other drone team was flying,False,False,False
22,Aeromon,1,2024-06-19,23,15:01:00,15:48:00,True,52.73,67.55,37.92,ci_95,2,"wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
23,Aeromon,1,2024-06-19,24,,,False,,,,,,other drone team was flying,False,False,False
24,Aeromon,1,2024-06-20,25,,,False,,,,,,Rain,False,False,False
25,Aeromon,1,2024-06-20,26,,,False,,,,,,Rain,False,False,False
26,Aeromon,1,2024-06-20,27,11:33:00,11:52:00,False,0.0,,,,,nonconformity (not enough data due to rain + average wind speed <1 m/s + wind persistence below 0.9),False,False,True
27,Aeromon,1,2024-06-20,28,12:05:00,12:51:00,True,10.27,15.01,5.52,ci_95,1.9,"wind conditions outside boundary conditions momentarily during test, average wind speed barely meeting the boundary of 1 m/s",True,True,True
28,Aeromon,1,2024-06-20,29,13:03:00,13:10:00,False,0.0,,,,,nonconformity (not enough data due to rain + average wind speed <1 m/s + wind persistence below 0.9),False,False,True
29,Aeromon,1,2024-06-20,30,14:12:00,14:29:00,False,0.0,,,,,nonconformity (not enough data due to rain + wind persistence below 0.9),False,False,True
30,Aeromon,1,2024-06-20,31,,,False,,,,,,Rain,False,False,False
31,Aeromon,1,2024-06-20,32,,,False,,,,,,Rain,False,False,False
32,Aeromon,1,2024-06-21,33,,,False,,,,,,other drone team was flying,False,False,False
33,Aeromon,1,2024-06-21,34,10:03:00,10:47:00,True,11.39,16.71,6.07,ci_95,2.8,"wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
34,Aeromon,1,2024-06-21,35,,,False,,,,,,other drone team was flying,False,False,False
35,Aeromon,1,2024-06-21,36,12:10:00,12:33:00,True,0.03,0.15,0.0,ci_95,2.4,"close to detection limit (High uncertainty is due to all the detections above ambient background were close to sensor detection limit) + interrupted by rain + wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
36,Aeromon,1,2024-06-21,37,,,False,,,,,,other drone team was flying,False,False,False
37,Aeromon,1,2024-06-21,38,14:13:00,14:53:00,True,0.13,0.27,0.0,ci_95,2.2,"close to detection limit (High uncertainty is due to all the detections above ambient background were close to sensor detection limit) + wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
38,Aeromon,1,2024-06-21,39,,,False,,,,,,other drone team was flying,False,False,False
39,Aeromon,1,2024-06-21,40,16:29:00,17:19:00,True,3.18,4.18,2.18,ci_95,3,"wind conditions outside boundary conditions momentarily during test, but average wind speed sufficient",True,True,True
