,Operator,Week,DateOfSurvey,ReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep
0,SeekOps,2,Monday 6/24,1,11:08:00,11:55:00,False,,,,,,UAV not in air during this timeframe.,False,False,False
1,SeekOps,2,Monday 6/24,2,12:00:00,13:45:00,True,18.32,23.816000000000003,12.824,percent_0.30,,Totaled emission rate of 18.32,True,True,True
2,SeekOps,2,Monday 6/24,3,13:01:00,13:45:00,False,,,,,,UAV not in air during this timeframe.,False,False,False
3,SeekOps,2,Monday 6/24,4,14:01:00,14:48:00,True,0.68,0.8840000000000001,0.476,percent_0.30,,Totaled emission rate of 0.68,True,True,True
4,SeekOps,2,Monday 6/24,5,15:01:00,15:53:00,True,12.25,15.925,8.575,percent_0.30,,Totaled emission rate of 12.25,True,True,True
5,SeekOps,2,Monday 6/24,6,16:05:00,16:51:00,True,4.53,5.889,3.171,percent_0.30,,Totaled emission rate of 4.53,True,True,True
6,SeekOps,2,Monday 6/24,7,17:00:00,17:49:00,True,13.43,17.459,9.401,percent_0.30,,Totaled emission rate of 13.43,True,True,True
7,SeekOps,2,Tuesday 6/25,8,09:02:00,09:48:00,True,0.19,0.24700000000000003,0.13299999999999998,percent_0.30,,Totaled emission rate of 0.19,True,True,True
8,SeekOps,2,Tuesday 6/25,9,10:03:00,10:49:00,True,0.24,0.312,0.16799999999999998,percent_0.30,,Totaled emission rate of 0.24,True,True,True
9,SeekOps,2,Tuesday 6/25,10,11:05:00,11:51:00,True,4.46,5.798,3.122,percent_0.30,,Totaled emission rate of 4.46,True,True,True
10,SeekOps,2,Tuesday 6/25,11,12:05:00,12:51:00,False,,,,,,UAV not in air during this timeframe.,False,False,False
11,SeekOps,2,Tuesday 6/25,12,13:35:00,14:21:00,True,15.35,19.955000000000002,10.745,percent_0.30,,Totaled emission rate of 15.35,True,True,True
12,SeekOps,2,Tuesday 6/25,13,14:35:00,15:22:00,True,7.06,9.177999999999999,4.941999999999999,percent_0.30,,Totaled emission rate of 7.06,True,True,True
13,SeekOps,2,Tuesday 6/25,14,15:33:00,16:19:00,True,11.7,15.209999999999999,8.19,percent_0.30,,Totaled emission rate of 11.7,True,True,True
14,SeekOps,2,Tuesday 6/25,15,16:35:00,17:33:00,True,0.83,1.079,0.581,percent_0.30,,Totaled emission rate of 0.83,True,True,True
15,SeekOps,2,Wednesday 6/26,16,08:55:00,09:43:00,False,,,,,,UAV not in air during this timeframe.,False,False,False
16,SeekOps,2,Wednesday 6/26,17,10:01:00,10:51:00,True,0.07,0.09100000000000001,0.049,percent_0.30,,Totaled emission rate of 0.07,True,True,True
17,SeekOps,2,Wednesday 6/26,18,11:00:00,11:50:00,True,1.23,1.599,0.861,percent_0.30,,Totaled emission rate of 1.23,True,True,True
