,Operator,Week,DateOfSurvey,ReleaseID,SurveyStartTime,SurveyEndTime,QuantifiedPlume,EstimatedEmissionRate,EstimatedEmissionRateUpper,EstimatedEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFLag,OperatorKeep,StanfordKeep,StrictQCKeep
0,UU/LSCE/CYI/RHUL,4,Monday 9/16,1,11:00:00,11:46:00,False,,,,,,Overlapped with other activity (safety training),False,False,False
1,UU/LSCE/CYI/RHUL,4,Monday 9/16,2,11:59:00,12:47:00,True,22.03,47.290000000000006,0.0,ci_95,1.4,,True,True,True
2,UU/LSCE/CYI/RHUL,4,Monday 9/16,3,12:59:00,13:45:00,False,,,,,,Overlapped with other activity,False,False,False
3,UU/LSCE/CYI/RHUL,4,Monday 9/16,4,13:59:00,14:46:00,True,5.44,8.36,2.5200000000000005,ci_95,1.3,,True,True,True
4,UU/LSCE/CYI/RHUL,4,Monday 9/16,5,14:59:00,15:45:00,True,11.45,22.77,0.129999999999999,ci_95,2.4,,True,True,True
5,UU/LSCE/CYI/RHUL,4,Monday 9/16,6,15:59:00,16:45:00,True,5.02,10.82,0.0,ci_95,1.8,,True,True,True
6,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,7,09:00:00,09:46:00,True,0.28,0.54,0.020000000000000018,ci_95,0.4,,True,True,True
7,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,8,09:59:00,10:46:00,False,,,,,,Aeris malfunctioning and no wind conditions,False,False,False
8,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,9,10:59:00,11:50:00,True,4.02,9.059999999999999,0.0,ci_95,0.5,,True,True,True
9,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,10,11:59:00,12:49:00,True,2.19,3.21,1.17,ci_95,0.8,,True,True,True
10,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,11,13:00:00,13:46:00,True,0.88,0.92,0.84,ci_95,1.7,,True,True,True
11,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,12,13:58:00,14:45:00,True,30.43,49.69,11.169999999999998,ci_95,1.1,,True,True,True
12,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,13,14:58:00,15:44:00,True,0.0,0.0024,0.0,ci_95,1.1,,True,True,True
13,UU/LSCE/CYI/RHUL,4,Tuesday 9/17,14,15:57:00,16:45:00,True,16.2,28.119999999999997,4.279999999999999,ci_95,0.6,,True,True,True
14,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,15,08:51:00,09:37:00,True,0.84,1.18,0.49999999999999994,ci_95,1.4,,True,True,True
15,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,16,09:44:00,10:31:00,True,8.71,25.11,0.0,ci_95,0.2,,True,True,True
16,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,17,10:45:00,11:31:00,True,0.25,0.35,0.15,ci_95,0.7,,True,True,True
17,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,18,11:44:00,12:33:00,True,8.3,14.72,1.8800000000000008,ci_95,0.7,,True,True,True
18,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,19,12:45:00,13:25:00,True,0.18,0.38,0.0,ci_95,1.4,,True,True,True
19,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,20,13:30:00,14:16:00,True,1.56,2.2,0.92,ci_95,0.8,,True,True,True
20,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,21,14:29:00,15:16:00,True,0.3,0.5800000000000001,0.019999999999999962,ci_95,0.7,,True,True,True
21,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,22,15:30:00,16:19:00,True,120.48,173.92000000000002,67.04,ci_95,1.3,,True,True,True
22,UU/LSCE/CYI/RHUL,4,Wednesday 9/18,23,16:31:00,17:19:00,True,0.51,0.73,0.29000000000000004,ci_95,1.5,,True,True,True
23,UU/LSCE/CYI/RHUL,4,Thursday 9/19,24,08:45:00,09:33:00,True,34.21,50.49,17.93,ci_95,1.4,,True,True,True
24,UU/LSCE/CYI/RHUL,4,Thursday 9/19,25,09:45:00,10:31:00,True,0.58,0.84,0.31999999999999995,ci_95,0.8,,True,True,True
25,UU/LSCE/CYI/RHUL,4,Thursday 9/19,26,10:44:00,11:32:00,True,1.42,2.2,0.6399999999999999,ci_95,0.5,,True,True,True
26,UU/LSCE/CYI/RHUL,4,Thursday 9/19,27,11:44:00,12:31:00,False,0.0,,,,,unable to identify source location,False,False,True
27,UU/LSCE/CYI/RHUL,4,Thursday 9/19,28,12:44:00,13:32:00,True,4.93,9.05,0.8099999999999996,ci_95,0.6,,True,True,True
28,UU/LSCE/CYI/RHUL,4,Thursday 9/19,29,13:46:00,14:34:00,True,0.42,0.7,0.13999999999999996,ci_95,1.7,,True,True,True
29,UU/LSCE/CYI/RHUL,4,Thursday 9/19,30,14:44:00,15:31:00,False,0.0,,,,,GPS data loss,False,False,True
30,UU/LSCE/CYI/RHUL,4,Thursday 9/19,31,15:44:00,16:34:00,True,2.58,3.9400000000000004,1.22,ci_95,1.8,,True,True,True
31,UU/LSCE/CYI/RHUL,4,Thursday 9/19,32,16:44:00,17:38:00,True,12.18,19.52,4.84,ci_95,1.9,,True,True,True
32,UU/LSCE/CYI/RHUL,4,Friday 9/20,33,08:45:00,09:31:00,True,5.64,7.24,4.039999999999999,ci_95,1.6,,True,True,True
33,UU/LSCE/CYI/RHUL,4,Friday 9/20,34,09:45:00,10:34:00,True,19.89,35.53,4.25,ci_95,1.2,,True,True,True
34,UU/LSCE/CYI/RHUL,4,Friday 9/20,35,10:45:00,11:34:00,True,5.31,8.01,2.6099999999999994,ci_95,0.3,,True,True,True
35,UU/LSCE/CYI/RHUL,4,Friday 9/20,36,11:46:00,12:33:00,True,0.24,0.36,0.12,ci_95,0.9,,True,True,True
36,UU/LSCE/CYI/RHUL,4,Friday 9/20,37,12:47:00,13:33:00,True,8.56,13.72,3.4000000000000004,ci_95,0.8,,True,True,True
37,UU/LSCE/CYI/RHUL,4,Friday 9/20,38,13:51:00,14:30:00,False,0.0,,,,,Heavy rain. No signal good found. We probably stopped driving  ,False,False,True
38,UU/LSCE/CYI/RHUL,4,Friday 9/20,39,14:32:00,15:32:00,True,56.48,85.56,27.4,ci_95,1.1,,True,True,True
39,UU/LSCE/CYI/RHUL,4,Friday 9/20,40,15:32:00,16:42:00,True,89.33,119.25,59.41,ci_95,0.4,,True,True,True
