,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
6,0.9,0,0.3,0.3,1.9000000000000001
7,7.3,0,1.7,1.7,5.8
11,54.0,0,10.3,10.3,13.599999999999998
14,0.5,0,0.3,0.3,1.9999999999999998
15,38.47,0,17.7,17.7,25.099999999999998
17,52.94,0,38.6,22.200000000000003,22.199999999999996
20,0.19,0,0.1,0.1,0.8
21,290.0,0,171.9,29.200000000000017,29.19999999999999
22,0.73,0,0.1,0.1,0.9
23,28.71,0,12.4,12.4,13.6
24,1.63,0,0.7,0.7,4.7
27,49.01,0,11.3,11.3,14.099999999999998
28,1.14,0,1.1,1.1,2.3
30,8.25,0,2.9,2.9,2.6
31,26.4,0,5.6,2.9999999999999996,3.0
