,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
1,0.66,0,0.3,0.06999999999999998,0.07
3,8.28,0,7.3,2.92,2.920000000000001
5,16.46,0,18.7,5.35,5.240000000000002
7,41.0,0,18.0,6.949999999999999,6.969999999999999
11,47.66,0,50.0,19.98,20.060000000000002
13,1.95,0,0.98,0.28,0.28
15,4.46,0,3.5,0.8300000000000001,0.8399999999999999
17,1.92,0,1.12,0.45000000000000007,0.44999999999999996
21,5.6,0,3.08,0.7200000000000002,0.71
23,8.28,0,6.75,1.5599999999999996,1.5700000000000003
32,1.1,0,1.31,0.38,0.3699999999999999
38,15.15,0,15.6,4.4399999999999995,4.389999999999999
