,release_rate,release_sigma,operator_report,operator_sigma
1,136.6,0,18.32,5.496000000000009
3,0.89,0,0.68,0.20400000000000007
4,46.2,0,12.25,3.6750000000000007
5,19.23,0,4.53,1.3589999999999982
6,32.18,0,13.43,4.029
7,0.77,0,0.19,0.05700000000000005
8,1.95,0,0.24,0.07200000000000001
9,8.2,0,4.46,1.3379999999999992
11,50.42,0,15.35,4.604999999999999
12,21.7,0,7.06,2.1179999999999994
13,54.95,0,11.7,3.5100000000000016
14,1.48,0,0.83,0.249
16,1.33,0,0.07,0.02099999999999999
17,9.71,0,1.23,0.369
18,4.83,0,0.35,0.10500000000000004
19,0.01,0,29.94,8.981999999999996
20,44.02,0,3.19,0.9570000000000003
21,8.55,0,0.09,0.026999999999999996
24,42.06,0,14.22,4.266
25,0.57,0,16.16,4.848000000000006
26,8.55,0,0.55,0.16500000000000004
27,13.91,0,5.67,1.7010000000000005
28,37.59,0,9.46,2.838000000000001
29,81.3,0,10.0,3.0
30,1.44,0,23.53,7.059000000000001
31,2.98,0,1.13,0.3390000000000002
32,0.32,0,2.12,0.6360000000000001
34,19.23,0,6.8,2.04
