,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
1,136.6,0,105.55,22.08,22.08
2,24.83,0,4.76,1.8699999999999997,1.87
3,0.89,0,0.63,0.09999999999999998,0.09999999999999998
4,46.2,0,63.84,7.840000000000003,7.840000000000003
10,32.1,0,25.73,0.07000000000000028,0.07000000000000028
11,50.42,0,47.21,9.149999999999999,9.149999999999999
12,21.7,0,22.99,2.9899999999999984,2.990000000000002
13,54.95,0,57.82,15.090000000000003,15.089999999999996
14,1.48,0,2.63,0.4299999999999997,0.43000000000000016
19,0.01,0,0.44,0.06,0.06
20,44.02,0,31.1,4.300000000000001,4.299999999999997
21,8.55,0,5.43,1.7599999999999998,1.7600000000000007
24,42.06,0,22.6,8.55,8.549999999999997
25,0.57,0,3.04,0.9699999999999998,0.9699999999999998
27,13.91,0,16.38,4.440000000000001,4.440000000000001
28,37.59,0,27.94,5.510000000000002,5.510000000000002
29,81.3,0,91.95,19.35000000000001,19.349999999999994
30,1.44,0,1.06,0.27,0.27
