,release_rate,release_sigma,operator_report,operator_sigma_lower,operator_sigma_upper
1,56.7,0,22.03,22.03,25.260000000000005
3,28.71,0,5.44,2.92,2.919999999999999
4,21.64,0,11.45,11.32,11.32
5,9.23,0,5.02,5.02,5.800000000000001
6,0.9,0,0.28,0.26,0.26
8,79.2,0,4.02,4.02,5.040000000000001
9,5.5,0,2.19,1.02,1.02
11,54.0,0,30.43,19.26,19.259999999999998
13,44.0,0,16.2,11.92,11.920000000000002
14,0.5,0,0.84,0.3400000000000001,0.33999999999999997
15,38.47,0,8.71,8.71,16.4
16,1.45,0,0.25,0.1,0.09999999999999998
17,52.94,0,8.3,6.42,6.42
18,0.29,0,0.18,0.18,0.2
19,8.25,0,1.56,0.64,0.6400000000000001
20,0.19,0,0.3,0.2800000000000001,0.2800000000000001
21,290.0,0,120.48,53.44,53.44000000000001
22,0.73,0,0.51,0.22000000000000003,0.21999999999999997
23,28.71,0,34.21,16.28,16.28
24,1.63,0,0.58,0.26000000000000006,0.26
25,2.01,0,1.42,0.78,0.7800000000000002
27,49.01,0,4.93,4.12,4.120000000000001
28,1.14,0,0.42,0.2800000000000001,0.27999999999999997
30,8.25,0,2.58,1.36,1.3599999999999999
31,26.4,0,12.18,7.34,7.34
32,3.3,0,5.64,1.6000000000000005,1.6000000000000005
33,38.47,0,19.89,15.64,15.64
34,34.4,0,5.31,2.7,2.7
35,1.0,0,0.24,0.12,0.12
36,17.93,0,8.56,5.16,5.16
38,54.0,0,56.48,29.08,29.080000000000005
39,250.8,0,89.33,29.92,29.92
