,week,release_id,release_date,zero_release,non_zero_release,operator_kept,stanford_kept,strict_qc_kept,pass_all_qc,fail_all_qc,release_rate_kgh,operator_quantification,operator_lower,operator_upper,operator_detected,qc_summary,windspeed_20m_avg,windspeed_20m_std,winddir_20m_avg,winddir_20m_std,winddir_20m_cv,operator_windspeed,true_positive,false_positive,true_negative,false_negative,qc_flag
0,1,1,2024-06-17,False,True,False,False,True,False,False,28.26,0.0,,,False,not_measured,3.882568493150685,0.9514976427936392,128.78281506849316,17.229718977909368,0.0478603304941926,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
1,1,2,2024-06-17,False,True,False,False,False,False,False,0.66,,,,False,not_measured,3.6689090909090902,1.075709460677005,91.2481958041958,28.110530841728064,0.078084807893689,,False,False,False,False,other drone team was flying
2,1,3,2024-06-17,False,True,False,False,True,False,False,20.0,0.0,,,False,not_measured,2.862784722222222,1.0138208912254851,108.6169375,44.80099650494007,0.1244472125137224,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
3,1,4,2024-06-17,False,True,False,False,False,False,False,8.28,,,,False,not_measured,3.1313154362416107,1.1112321447642746,79.04834228187919,34.31336940324684,0.095314915009019,,False,False,False,False,other drone team was flying
4,1,5,2024-06-17,False,True,False,False,True,False,False,1.49,0.0,,,False,not_measured,3.016371428571429,1.0230887943830629,99.40842142857144,38.79412671000572,0.1077614630833492,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
5,1,6,2024-06-17,False,True,False,False,False,False,False,16.46,,,,False,not_measured,3.512060810810812,1.0442145779064107,99.24814189189188,26.24483772214941,0.0729023270059705,,False,False,False,False,other drone team was flying
6,1,7,2024-06-17,False,True,False,False,True,False,False,56.7,0.0,,,False,not_measured,4.42474375,1.2009813610212443,83.39471875,24.326985847770302,0.0675749606882508,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
7,1,8,2024-06-18,False,True,False,False,False,False,False,41.0,,,,False,not_measured,1.9461172413793104,0.5678803608283697,226.0570413793104,22.922815721128725,0.0636744881142464,,False,False,False,False,other drone team was flying
8,1,9,2024-06-18,False,True,False,False,True,False,False,28.26,0.0,,,False,not_measured,1.5725147058823532,0.5493290450924064,169.215375,82.13683350299526,0.2281578708416535,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
9,1,10,2024-06-18,False,True,False,False,True,False,False,4.45,0.0,,,False,not_measured,2.435972413793104,1.02646737747066,159.4326482758621,32.83499082772612,0.0912083078547947,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
10,1,11,2024-06-18,False,True,False,False,True,False,False,8.28,0.0,,,False,not_measured,2.5479172413793107,0.9669720889876946,144.6211103448276,35.41822871055547,0.0983839686404318,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
11,1,12,2024-06-18,False,True,False,False,False,False,False,47.66,,,,False,not_measured,2.5858482758620687,1.039208989588786,138.32967586206897,37.89058204551024,0.105251616793084,,False,False,False,False,other drone team was flying
12,1,13,2024-06-18,False,True,False,False,True,False,False,3.83,0.0,,,False,not_measured,2.247241379310345,0.7721315489159977,83.74419310344827,37.33543762657951,0.1037095489627208,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
13,1,14,2024-06-18,False,True,False,False,False,False,False,1.95,,,,False,not_measured,3.455894117647059,1.1407810192554737,55.46843529411765,23.42892280329468,0.065080341120263,,False,False,False,False,other drone team was flying
14,1,15,2024-06-18,False,True,False,False,True,False,False,126.0,0.0,,,False,not_measured,2.7539932885906038,0.9283976787749164,61.42969127516779,29.431761505953897,0.0817548930720941,,False,False,False,True,unable to confirm if wind conditions are within boundary conditions due to missing weather station data
15,1,16,2024-06-18,False,True,False,False,False,False,False,4.46,,,,False,not_measured,3.23053216374269,0.8677565075021619,70.77632748538012,22.66450017991722,0.0629569449442145,,False,False,False,False,other drone team was flying
