,week,release_id,release_date,zero_release,non_zero_release,operator_kept,stanford_kept,strict_qc_kept,pass_all_qc,fail_all_qc,release_rate_kgh,operator_quantification,operator_lower,operator_upper,operator_detected,qc_summary,windspeed_20m_avg,windspeed_20m_std,winddir_20m_avg,winddir_20m_std,winddir_20m_cv,operator_windspeed,true_positive,false_positive,true_negative,false_negative,qc_flag
0,2,1,2024-06-24,False,True,False,False,False,False,False,0.59,,,,False,not_measured,2.3708581560283686,0.8241538481684479,146.06929078014187,39.224809143484585,0.108957803176346,,False,False,False,False,UAV not in air during this timeframe.
1,2,2,2024-06-24,False,True,True,True,True,True,True,136.6,18.32,12.824,23.816000000000003,True,pass_all,2.418187050359712,0.8952530981159262,122.19275539568346,43.157703441227056,0.119882509558964,,True,False,False,False,Totaled emission rate of 18.32
2,2,3,2024-06-24,False,True,False,False,False,False,False,24.83,,,,False,not_measured,2.6951044776119404,1.0977308945374116,94.59223134328356,38.81467753270214,0.1078185487019503,,False,False,False,False,UAV not in air during this timeframe.
3,2,4,2024-06-24,False,True,True,True,True,True,True,0.89,0.68,0.476,0.8840000000000001,True,pass_all,3.169401360544218,1.0509779898107423,94.17029931972787,28.067623860017783,0.0779656218333827,,True,False,False,False,Totaled emission rate of 0.68
4,2,5,2024-06-24,False,True,True,True,True,True,True,46.2,12.25,8.575,15.925,True,pass_all,3.56424074074074,1.0724718809706573,76.23150617283952,27.38771173526238,0.0760769770423955,,True,False,False,False,Totaled emission rate of 12.25
5,2,6,2024-06-24,False,True,True,True,True,True,True,19.23,4.53,3.171,5.889,True,pass_all,2.783191176470589,1.1440250224840876,81.27007352941177,32.48962635572816,0.0902489620992448,,True,False,False,False,Totaled emission rate of 4.53
6,2,7,2024-06-24,False,True,True,True,True,True,True,32.18,13.43,9.401,17.459,True,pass_all,3.088168918918919,1.05444303503292,74.6871418918919,35.95521520371627,0.0998755977881007,,True,False,False,False,Totaled emission rate of 13.43
7,2,8,2024-06-25,False,True,True,True,True,True,True,0.77,0.19,0.1329999999999999,0.247,True,pass_all,1.4445323741007197,0.3970631553124032,141.33770503597125,29.12427458237153,0.0809007627288098,,True,False,False,False,Totaled emission rate of 0.19
8,2,9,2024-06-25,False,True,True,True,True,True,True,1.95,0.24,0.1679999999999999,0.312,True,pass_all,1.663948905109489,0.6520497130223039,132.96164963503648,45.641237577582565,0.1267812154932849,,True,False,False,False,Totaled emission rate of 0.24
9,2,10,2024-06-25,False,True,True,True,True,True,True,8.2,4.46,3.122,5.798,True,pass_all,2.522943661971831,0.7635531515508481,135.32766197183096,27.3455825551692,0.0759599515421366,,True,False,False,False,Totaled emission rate of 4.46
10,2,11,2024-06-25,False,True,False,False,False,False,False,32.1,,,,False,not_measured,3.353020547945205,0.8853950099886497,93.24657534246576,31.51727933812302,0.0875479981614528,,False,False,False,False,UAV not in air during this timeframe.
11,2,12,2024-06-25,False,True,True,True,True,True,True,50.42,15.35,10.745,19.955,True,pass_all,3.828572413793104,0.9421291913122134,78.46044827586206,30.168518250018643,0.0838014395833851,,True,False,False,False,Totaled emission rate of 15.35
12,2,13,2024-06-25,False,True,True,True,True,True,True,21.7,7.06,4.941999999999999,9.178,True,pass_all,2.835292517006802,0.9307801795348104,82.38674829931972,29.01436087958685,0.0805954468877412,,True,False,False,False,Totaled emission rate of 7.06
13,2,14,2024-06-25,False,True,True,True,True,True,True,54.95,11.7,8.19,15.21,True,pass_all,3.350978723404255,0.9528363108416674,71.71133333333333,24.85662223762745,0.0690461728822984,,True,False,False,False,Totaled emission rate of 11.7
14,2,15,2024-06-25,False,True,True,True,True,True,True,1.48,0.83,0.581,1.079,True,pass_all,3.3203121387283234,0.953720411301546,87.52398265895954,27.010392881482638,0.0750288691152295,,True,False,False,False,Totaled emission rate of 0.83
15,2,16,2024-06-26,False,True,False,False,False,False,False,1.62,,,,False,not_measured,1.0321755725190838,0.4102036545033929,99.37093129770992,39.7125088355233,0.1103125245431202,,False,False,False,False,UAV not in air during this timeframe.
16,2,17,2024-06-26,False,True,True,True,True,True,True,1.33,0.07,0.049,0.091,True,pass_all,1.4074097222222222,0.5319094566884552,146.9405972222222,47.532176558102734,0.1320338237725075,,True,False,False,False,Totaled emission rate of 0.07
17,2,18,2024-06-26,False,True,True,True,True,True,True,9.71,1.23,0.861,1.599,True,pass_all,1.5774335664335664,0.5729161204913692,165.55723076923076,42.56751788900674,0.1182431052472409,,True,False,False,False,Totaled emission rate of 1.23
18,2,19,2024-06-26,False,True,True,True,True,True,True,4.83,0.35,0.2449999999999999,0.4549999999999999,True,pass_all,2.086151724137931,0.716621649080625,127.74538620689658,37.5554922684528,0.1043208118568133,,True,False,False,False,Totaled emission rate of 0.35
19,2,20,2024-06-26,False,True,True,True,True,True,True,0.01,29.94,20.958,38.922,True,pass_all,2.207905660377359,0.8614429004818266,102.42933962264152,46.99909066595391,0.1305530296276497,,True,False,False,False,Totaled emission rate of 29.94
20,2,21,2024-06-26,False,True,True,True,True,True,True,44.02,3.19,2.233,4.147,True,pass_all,2.6945533333333334,0.9096962951916748,80.54934,34.86645841976523,0.0968512733882367,,True,False,False,False,Totaled emission rate of 3.19
21,2,22,2024-06-26,False,True,True,True,True,True,True,8.55,0.09,0.063,0.1169999999999999,True,pass_all,3.0396164383561644,1.0302019839467973,71.87480821917809,26.367032980510498,0.0732417582791958,,True,False,False,False,Totaled emission rate of 0.09
