,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
0,1,2024-06-17,11:07:00,11:53:30,28.26,duplicate 1,1,2024-06-17 11:07:00,2024-06-17 11:53:30,3.882568493150685,0.9514976427936392,128.78281506849316,17.229718977909368,0.0478603304941926,0.5536720344165316,1
1,1,2024-06-17,12:05:00,12:51:00,0.66,,2,2024-06-17 12:05:00,2024-06-17 12:51:00,3.6689090909090902,1.075709460677005,91.2481958041958,28.110530841728064,0.078084807893689,0.5592193105364234,2
2,1,2024-06-17,13:05:45,13:52:00,20.0,duplicate 2,3,2024-06-17 13:05:45,2024-06-17 13:52:00,2.862784722222222,1.0138208912254851,108.6169375,44.80099650494007,0.1244472125137224,0.5266247379043744,3
3,1,2024-06-17,14:00:00,14:48:30,8.28,duplicate 3,4,2024-06-17 14:00:00,2024-06-17 14:48:30,3.1313154362416107,1.1112321447642746,79.04834228187919,34.31336940324684,0.095314915009019,0.5331020497781385,4
4,1,2024-06-17,15:00:00,15:46:00,1.49,,5,2024-06-17 15:00:00,2024-06-17 15:46:00,3.016371428571429,1.0230887943830629,99.40842142857144,38.79412671000572,0.1077614630833492,0.5434917809105099,5
5,1,2024-06-17,16:00:00,16:47:30,16.46,,6,2024-06-17 16:00:00,2024-06-17 16:47:30,3.512060810810812,1.0442145779064107,99.24814189189188,26.24483772214941,0.0729023270059705,0.5889197001649225,6
6,1,2024-06-17,16:57:05,17:48:30,56.7,,7,2024-06-17 16:57:05,2024-06-17 17:48:30,4.42474375,1.2009813610212443,83.39471875,24.326985847770302,0.0675749606882508,0.7206060840469728,7
7,1,2024-06-18,09:08:00,09:54:00,41.0,,8,2024-06-18 09:08:00,2024-06-18 09:54:00,1.9461172413793104,0.5678803608283697,226.0570413793104,22.922815721128725,0.0636744881142464,0.312754627027434,8
8,1,2024-06-18,10:05:05,10:51:30,28.26,duplicate 1,9,2024-06-18 10:05:05,2024-06-18 10:51:30,1.5725147058823532,0.5493290450924064,169.215375,82.13683350299526,0.2281578708416535,0.3165016490184104,9
9,1,2024-06-18,11:03:00,11:49:00,4.45,,10,2024-06-18 11:03:00,2024-06-18 11:49:00,2.435972413793104,1.02646737747066,159.4326482758621,32.83499082772612,0.0912083078547947,0.3683774050054965,10
